objID,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,ymag,e_ymag
161961100093550973,110.009341800,44.966950260,0.0022,0.0026,15.6783,0.0020,15.3711,0.0024,15.2791,0.0029,15.2661,0.0017,15.2602,0.0017
161951100409997598,110.041134490,44.964092840,0.0641,0.0641,21.7824,0.1570,21.7260,0.1884,21.4392,0.0526,,,,
161961100202358160,110.020434060,44.972973390,0.0512,0.0417,21.6191,0.2022,21.0791,0.1202,20.3742,0.1471,20.2105,0.0361,19.6241,0.0501
161961100207208065,110.020501320,44.972977020,0.0219,0.0305,21.8024,0.1704,21.2456,0.0808,20.6154,0.0382,19.6827,0.1315,20.0365,0.0874
161971100285129508,110.028513180,44.982389600,0.0127,0.0138,21.4034,0.0462,20.8394,0.0414,20.6711,0.0181,20.5440,0.0524,,
161961100397349015,110.039738370,44.973657270,0.0010,0.0020,16.8821,0.0074,16.1531,0.0024,15.8702,0.0022,15.7419,0.0052,15.6433,0.0076
161981100146829264,110.014712630,44.990520950,0.0038,0.0043,20.1048,0.0116,19.2920,0.0095,18.9011,0.0054,18.7150,0.0093,18.5702,0.0090
161971100158666168,110.015962270,44.979532450,0.0129,0.0130,22.0254,0.1789,21.4300,0.0485,20.5057,0.0165,20.0031,0.0376,19.8859,0.1075
161991100402440449,110.040252460,44.991478410,0.0215,0.0270,21.9553,0.1781,21.5055,0.0962,21.0864,0.0285,20.6444,0.0708,20.4782,0.1381
161981100328780778,110.032902460,44.983440720,0.0032,0.0120,21.6122,0.0639,20.4131,0.0255,19.3113,0.0058,18.7800,0.0339,18.5971,0.0235
161981100339589351,110.034091860,44.990514480,0.0028,0.0045,20.3338,0.0276,19.8596,0.0107,19.6883,0.0073,19.5833,0.0272,19.6158,0.0812
161961100524705623,110.052461320,44.970612050,0.0210,0.0244,21.6339,0.1256,21.3375,0.0469,21.2384,0.0331,21.1443,0.0804,,
161981100411859438,110.041215840,44.990559560,0.1024,0.0967,21.3834,0.2019,21.6687,0.1787,21.6037,0.0541,,,,
161991100429969284,110.042715850,44.998739280,0.0036,0.0091,20.7148,0.0123,20.2670,0.0262,20.0940,0.0135,19.9863,0.0592,20.0851,0.0976
161981100220938753,110.022114930,44.990107380,0.0140,0.0140,21.9238,0.1992,21.3454,0.0355,20.4987,0.0127,20.0813,0.0224,19.9275,0.0587
162011100245966496,110.024581700,45.013144130,0.0104,0.0088,20.8037,0.0221,20.2397,0.0261,20.0682,0.0114,19.8955,0.0604,19.5709,0.1312
162001100248787087,110.024772540,45.005348660,0.0970,0.0970,21.4241,0.1557,21.5165,0.1632,,,21.5064,0.1878,,
162001100252461020,110.025248720,45.000304950,0.0013,0.0041,19.6823,0.0207,18.4592,0.0033,17.1787,0.0020,16.5863,0.0058,16.2837,0.0101
162001100243086970,110.024580430,45.005402430,0.0665,0.0665,21.4367,0.1617,21.4959,0.0302,21.6741,0.1832,,,,
161991099952733886,109.995251870,44.994406000,0.0058,0.0067,21.3939,0.0588,20.5011,0.0216,20.1354,0.0140,19.9190,0.0553,19.7109,0.0678
161981099934248439,109.993457930,44.989821660,0.0425,0.0414,21.4552,0.2039,21.9456,0.0218,21.3816,0.0675,21.0241,0.0353,,
161961100006458394,110.000640230,44.973161220,0.0075,0.0077,21.8521,0.0675,20.4972,0.0234,19.8197,0.0090,19.4744,0.0204,19.2579,0.0271
